year month day hour kwh cumulated_kwh
2015 1 13 6 78 846254
2015 1 13 7 63 846317
2015 1 13 8 54 846371
2015 1 13 9 62 846433
2015 1 13 10 64 846497
2015 1 13 11 79 846576
2015 1 13 12 75 846651
2015 1 13 13 59 846710
2015 1 13 14 82 846792
2015 1 13 15 81 846873
2015 1 13 16 82 846955
2015 1 13 17 82 847037
2015 1 13 18 80 847117
2015 1 13 19 83 847200
2015 1 13 20 80 847280
2015 1 13 21 86 847366
2015 1 13 22 79 847445
2015 1 13 23 82 847527
2015 1 14 0 79 847606
2015 1 14 1 80 847686
2015 1 14 2 81 847767
2015 1 14 3 80 847847
2015 1 14 4 80 847927
2015 1 14 5 79 848006
2015 1 14 6 83 848089
2015 1 14 7 80 848169
2015 1 14 8 80 848249
2015 1 14 9 85 848334
2015 1 14 10 80 848414
2015 1 14 11 86 848500
2015 1 14 12 86 848586
2015 1 14 13 78 848664
2015 1 14 14 61 848725
2015 1 14 15 82 848807
2015 1 14 16 83 848890
2015 1 14 17 83 848973
2015 1 14 18 84 849057
2015 1 14 19 86 849143
2015 1 14 20 86 849229
2015 1 14 21 80 849309
2015 1 14 22 87 849396
2015 1 14 23 81 849477
2015 1 15 0 82 849559
2015 1 15 1 86 849645
2015 1 15 2 84 849729
2015 1 15 3 81 849810
2015 1 15 4 83 849893
2015 1 15 5 81 849974
2015 1 15 6 78 850052
2015 1 15 7 45 850097
2015 1 15 8 NA 850097
2015 1 15 9 NA 850097
2015 1 15 10 1 850098
2015 1 15 11 76 850174
2015 1 15 12 84 850258
2015 1 15 13 84 850342
2015 1 15 14 80 850422
2015 1 15 15 68 850490
2015 1 15 16 42 850532
2015 1 15 17 55 850587
2015 1 15 18 53 850640
2015 1 15 19 69 850709
2015 1 15 20 55 850764
2015 1 15 21 49 850813
2015 1 15 22 46 850859
2015 1 15 23 38 850897
2015 1 16 0 12 850909
2015 1 16 1 34 850943
2015 1 16 2 27 850970
2015 1 16 3 26 850996
2015 1 16 4 42 851038
2015 1 16 5 67 851105
2015 1 16 6 70 851175
2015 1 16 7 70 851245
2015 1 16 8 73 851318
2015 1 16 9 55 851373
2015 1 16 10 51 851424
2015 1 16 11 39 851463
2015 1 16 12 37 851500
2015 1 16 13 23 851523
2015 1 16 14 85 851608
2015 1 16 15 84 851692
2015 1 16 16 86 851778
2015 1 16 17 86 851864
2015 1 16 18 79 851943
2015 1 16 19 79 852022
2015 1 16 20 84 852106
2015 1 16 21 82 852188
2015 1 16 22 84 852272
2015 1 16 23 54 852326
2015 1 17 0 NA 852326
2015 1 17 1 NA 852326
2015 1 17 2 NA 852326
2015 1 17 3 NA 852326
2015 1 17 4 NA 852326
2015 1 17 5 NA 852326
2015 1 17 6 NA 852326
2015 1 17 7 NA 852326
2015 1 17 8 NA 852326
2015 1 17 9 NA 852326
2015 1 17 10 NA 852326
2015 1 17 11 NA 852326
2015 1 17 12 NA 852326
2015 1 17 13 NA 852326
2015 1 17 14 NA 852326
2015 1 17 15 NA 852326
2015 1 17 16 NA 852326
2015 1 17 17 NA 852326
2015 1 17 18 NA 852326
2015 1 17 19 NA 852326
2015 1 17 20 NA 852326
2015 1 17 21 NA 852326
2015 1 17 22 NA 852326
2015 1 17 23 NA 852326
2015 1 18 0 NA 852326
2015 1 18 1 NA 852326
2015 1 18 2 NA 852326
2015 1 18 3 NA 852326
2015 1 18 4 NA 852326
2015 1 18 5 NA 852326
2015 1 18 6 NA 852326
2015 1 18 7 NA 852326
2015 1 18 8 NA 852326
2015 1 18 9 NA 852326
2015 1 18 10 NA 852326
2015 1 18 11 NA 852326
2015 1 18 12 NA 852326
2015 1 18 13 NA 852326
2015 1 18 14 NA 852326
2015 1 18 15 NA 852326
2015 1 18 16 NA 852326
2015 1 18 17 NA 852326
2015 1 18 18 NA 852326
2015 1 18 19 NA 852326
2015 1 18 20 NA 852326
2015 1 18 21 NA 852326
2015 1 18 22 NA 852326
2015 1 18 23 NA 852326
2015 1 19 0 NA 852326
2015 1 19 1 NA 852326
2015 1 19 2 NA 852326
2015 1 19 3 NA 852326
2015 1 19 4 NA 852326
2015 1 19 5 NA 852326
2015 1 19 6 NA 852326
2015 1 19 7 NA 852326
2015 1 19 8 NA 852326
2015 1 19 9 50 852376
2015 1 19 10 85 852461
2015 1 19 11 84 852545
2015 1 19 12 90 852635
2015 1 19 13 90 852725
2015 1 19 14 91 852816
2015 1 19 15 86 852902
2015 1 19 16 82 852984
2015 1 19 17 83 853067
2015 1 19 18 80 853147
2015 1 19 19 81 853228
2015 1 19 20 76 853304
2015 1 19 21 70 853374
2015 1 19 22 67 853441
2015 1 19 23 63 853504
2015 1 20 0 66 853570
2015 1 20 1 69 853639
2015 1 20 2 63 853702
2015 1 20 3 55 853757
2015 1 20 4 54 853811
2015 1 20 5 51 853862
2015 1 20 6 47 853909
2015 1 20 7 49 853958
2015 1 20 8 43 854001
2015 1 20 9 47 854048
2015 1 20 10 38 854086
2015 1 20 11 31 854117
2015 1 20 12 28 854145
2015 1 20 13 31 854176
2015 1 20 14 25 854201
2015 1 20 15 24 854225
2015 1 20 16 19 854244
2015 1 20 17 16 854260
2015 1 20 18 14 854274
2015 1 20 19 14 854288
2015 1 20 20 12 854300
2015 1 20 21 11 854311
2015 1 20 22 10 854321
2015 1 20 23 10 854331
2015 1 21 0 16 854347
2015 1 21 1 31 854378
2015 1 21 2 44 854422
2015 1 21 3 65 854487
2015 1 21 4 68 854555
2015 1 21 5 50 854605
2015 1 21 6 12 854617
2015 1 21 7 NA 854617
2015 1 21 8 7 854624
2015 1 21 9 59 854683
2015 1 21 10 78 854761
2015 1 21 11 68 854829
2015 1 21 12 70 854899
2015 1 21 13 86 854985
2015 1 21 14 89 855074
2015 1 21 15 33 855107
2015 1 21 16 10 855117
2015 1 21 17 5 855122
2015 1 21 18 5 855127
2015 1 21 19 8 855135
2015 1 21 20 16 855151
2015 1 21 21 47 855198
2015 1 21 22 86 855284
2015 1 21 23 79 855363
2015 1 22 0 79 855442
2015 1 22 1 91 855533
2015 1 22 2 96 855629
2015 1 22 3 58 855687
2015 1 22 4 49 855736
2015 1 22 5 42 855778
2015 1 22 6 8 855786
2015 1 22 7 11 855797
2015 1 22 8 50 855847
2015 1 22 9 51 855898
2015 1 22 10 85 855983
2015 1 22 11 81 856064
2015 1 22 12 69 856133
2015 1 22 13 75 856208
2015 1 22 14 90 856298
2015 1 22 15 97 856395
2015 1 22 16 92 856487
2015 1 22 17 96 856583
2015 1 22 18 85 856668
2015 1 22 19 100 856768
2015 1 22 20 84 856852
2015 1 22 21 98 856950
2015 1 22 22 94 857044
2015 1 22 23 86 857130
2015 1 23 0 73 857203
2015 1 23 1 75 857278
2015 1 23 2 82 857360
2015 1 23 3 97 857457
2015 1 23 4 93 857550
