year month day hour T01 T02 T03 T04 T05 T06 T07 T08 T09 T10 T11 T12 T13 T14 T15 T16
2015 1 6 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 9 NA 1202 NA 1415 1995 1446 1537 NA 1854 1641 1751 1647 1702 NA NA NA
2015 1 6 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 13 NA 1006 NA 1537 1885 1397 1385 NA 1568 1470 1482 1458 1525 NA NA NA
2015 1 6 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 17 NA 1684 NA 1934 3135 2068 2166 NA 2471 2477 2440 2403 2422 NA NA NA
2015 1 6 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 21 NA 3367 NA 4130 5527 4087 4142 NA 4227 4215 3934 3562 4148 NA NA NA
2015 1 6 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 9 NA 6692 7668 7778 8693 9656 10193 NA 10089 10120 9553 8979 8912 NA NA NA
2015 1 7 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 13 NA 6942 8082 8290 8412 9089 9583 NA 10748 11078 10510 9772 10181 NA NA NA
2015 1 7 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 17 NA 3953 4612 4197 4996 5026 5331 NA 6179 6332 6271 6185 6478 NA NA NA
2015 1 7 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 21 NA 4416 5130 5466 5521 5911 6179 NA 6930 6802 7100 6539 6350 NA NA NA
2015 1 7 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 7 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
